Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"
11/6/2022 18:46:43,Scott Hood,@scoot@toot.wales,,"Trusts, succession law, cross border estates, life assurance law and taxation ",All,"Will writer, Chartered Financial Planner, Fellow of the Personal Finance Society, ADIT student - considering whether to study for LLM",Yes

11/6/2022 18:52:02,Peter Robison,@PeterRobison@mastodon.online,PeterRobison,"Construction litigation, probate/estate planning, general civil litigation",Tennessee,Based in Nashville,Yes

11/6/2022 19:01:32,Tom Mitcheson,@bloomsburyboy@mastodonapp.uk,@TomMitcheson,Intellectual Property,UK,London based barrister ,Yes

11/6/2022 19:03:00,Ashish Goel,@ashish_nujs@mastodon.social,,"International tax, public law",India,,No

11/6/2022 19:11:49,dishtowel,@dishtowel@mastodon.social,,Intellectual property and technology law,United States,"Patents, copyrights, technology, digital and media legal cutting edge",Yes

11/6/2022 19:20:28,Sam Brunson,@smbrnsn@mastodon.world,@smbrnsn,"Tax, nonprofits",United States,"Professor, Associate Dean for Faculty Development and Research at Loyola University Chicago",Yes

11/6/2022 19:33:48,Leigh Goodmark,@leighgoodmark@mas.to,Recovering Carceral Feminist--Ask Me How!,"gender violence, clinical law",,,Yes

11/6/2022 19:34:13,Tyler Takemoto,@tyler@journa.host,@Tyler_Takemoto,"Technology, civil rights, First Amendment, privacy",,,Yes

11/6/2022 19:36:21,Emily Claire Goldman,@emilyclairegoldman@mastodon.online,@mle_goldman,"International human rights law, corporate accountability, ESG, & sustainability ",US & international,"International human rights lawyer focused on #bizhumanrights, international development, international financial institutions, & corporate accountability.",Yes

11/6/2022 19:37:01,CÃ©ile Varley,@MerchantOfEnnis@Mastodon.ie,merchantofennis,"International Law, EU Law, Human Rights Law ",Ireland ,,Yes

11/6/2022 19:41:11,Michael Wells,@michaelwellstax@toot.community,@michaelwellstax,"Corporate tax, international tax","Australia, United Kingdom, United States",Tax Barrister (Australia); PhD Candidate (Corporate and International Tax) and Graduate Researcher (Taxation Law and Policy) at The University of Melbourne Law School,Yes

11/6/2022 20:08:08,Christine Abely,@CEAbely@mastodon.social,@CEAbely,"international business transactions, compliance, contracts",,Assât Prof at New England Law | Boston,Yes

11/6/2022 20:24:36,Eddie Bruce-Jones,@EBJ@mas.to,@EddieBruceJones,"Equality Law, international law, migration law, legal anthropology, colonial legal history, law & literature","EU, ECtHR, UK, Germany, USA","Dean and Reader at Birkbeck, University of London",Yes

11/6/2022 20:37:03,Eduardo Santos,@edsantos@ciberlandia.pt,@EdSantos754,Tech law,"Portugal, EU",Interested in digital rights,Yes

11/6/2022 20:38:39,James Hietala,@JamesHietala@mastadon.social,@jameshietala ,Patent law,US Federal and Administrative courts,PTAB and patent law,Yes

11/6/2022 20:45:12,Boozy Barrister,@boozybadger@meow.social,Boozybadger,"Litigation, trial, real property, administrative agency law","Pennsylvania. 3d Circuit, SCOTUS",,Yes

11/6/2022 20:52:44,Sandra Marco Colino,@sandramarco@glasgow.social,@sandramarco,"Antitrust, competition law, law & technology, digital economy, torts, EU law","US, EU, China, Hong Kong",Associate Professor of Law at the Chinese University of Hong Kong,Yes

11/6/2022 21:19:07,Joshua Tate,@JCTate1215@mastodon.social,@JCTate1215,"Legal history, property, trusts & estates","U.S., U.K.",Law professor at SMU in Dallas,Yes

11/6/2022 21:40:04,Rachael Walker,@rachaellwalker@mas.to,rachaellwalker,Finance,US,"I'm a Boston-based finance attorney by day, activist by night. Mom of 2 kids and staff of 3 cats.",Yes

11/6/2022 21:57:18,Sandipto Dasgupta,@sandipto@mstdn.social,@sandiptodg,"Constitutional Law, Legal history, Law and Political Economy, Postcolonial Law","USA, India","I am an Assistant Professor of Politics at the New School, and Director of the Law and Social Change Program",Yes

11/6/2022 21:59:13,Brian Miller,@brian_m_miller@mastodon.online,@Brian_M_Miller,"Property, land use, urbanism, housing, religion",,Visiting Assistant Professor at University of Maryland School of Law,Yes

11/6/2022 22:09:34,Jon Painter,@jonpainterphoto@lawfedi.blue,@jonpainterphoto,Law Student,Admiralty,Former #Golf #Travel television producer and photographer â now a 2L in @#lawSchool.,Yes

11/6/2022 22:11:30,Ansel Halliburton,@anseljh@law.builders,@anseljh,"Trademarks, legal operations, legal tech",*,Software engineer turned lawyer turned software engineer turned lawyer,Yes

11/6/2022 22:23:42,Nikolas Guggenberger ,@nikenberger@mastodon.social,@nikenberger,"Antitrust, privacy, law & tech, EU law","US, EU",,Yes

11/6/2022 22:38:10,Jennifer Soble,@jennifersoblr@mas.to,@jsoble1,Criminal Defense,Illinois,Founder and Executive Director of the Illinois Prison Project ,Yes

11/6/2022 22:42:38,Vivianne Weng,@vycweng@mastodon.social,@vycweng,international human rights law,"ECtHR, IACtHR, UN treaty bodies, national constitutional courts","Associate Professor based in Taipei, Taiwan.",Yes

11/6/2022 23:11:53,Don Cruse,@doncruse@appellate.social,@doncruse,Appellate,Texas and Federal,Texas appellate lawyer,Yes

11/6/2022 23:14:46,Artur Pericles,artp@mastodon.social,arturpericles,Cyberlaw,,"Iâm the Wikimedia Fellow, Information Society Project, Yale Law School. Iâm researching platform governance ",Yes

11/7/2022 0:19:01,Sonja Ewerdt-Schlaak,@ewerdt@legal.social,@ewerdt,IT Law / Mediation ,,Retired Judge and Mediator,Yes

11/7/2022 0:43:50,Marcia McCormick,@marciamccormick@mastodon.online,@marciamccormick,"Work Law, Constitutional Law, Feminist and Sexuality Studies",,,Yes

11/7/2022 0:55:53,Josh Hanson,@joshhanson1530@toot.community,@joshhanson1530,"intellectual property, tech law, transactional",Illinois,Law student (3L),Yes

11/7/2022 2:44:58,Debadatta Bose,@bose@bhre.social,@DebadattaBose,"Business and Human Rights, International Law, Legal Theory, Private Law, Human Rights, Investment Law","India, US, UK",PhD candidate at the University of Amsterdam (UvA),Yes

11/7/2022 3:16:51,Stephanie Triefus,@stephtriefus@bhre.social,@stephtriefus,"business and human rights, international investment law, international law","International, Europe, Australia",PhD Candidate at Erasmus University Rotterdam,Yes

11/7/2022 3:38:38,Lorenzo Gasbarri,@LorenzoGasbarri@mastodon.online,@lorenzogasbarri,"public international law, international organizations",,"Assistant Professor - Scuola Superiore Sant'Anna
Visiting Professor - Central European University",Yes

11/7/2022 3:58:02,Charlotte John,@Lottiejohn1@mstdn.social,@lottiejohn1,"Probate, trusts, property",England and Wales,Barrister @ Gatehouselaw,Yes

11/7/2022 4:01:57,Bede Kelleher,@TheVenerableBede@aus.social,@Bedeapk,Advocacy and Common Law,All,Senior Counsel at the NSW Bar. ,Yes

11/7/2022 4:08:06,Jose Pina-SÃ¡nchez,@JPinaSanchez@sciences.social,,"Criminal Law, sentencing",England and Wales,I am a Criminologist exploring judicial decision-making using quantitative methods.,Yes

11/7/2022 4:22:24,Emily Reid,@emilysreid@mastodon.online,@EmilySReid,"International Economic Law, trade and sustainability, global governance, rule of law","International, UK,EU","Professor of International Economic Law, University of Southampton",Yes

11/7/2022 4:23:15,James Gallen,@jamesgallen@mastodon.ie ,@jamesgallen,"Transitional justice, Human Rights","Ireland, United Kingdom, Australia, Canada, United States",,Yes

11/7/2022 4:28:15,Elen Seymour,@ellyfromoz@aus.social,@ellyfromoz,"Tax, academic integrity, regulatory theory",Australia ,"Tax academic, concerned with academic integrity and social media ",Yes

11/7/2022 4:44:20,Kay Crosby,@kaycrosby@mastodon.lol,@_k_crosby_,"Legal history, criminal justice, juries",England and Wales,Legal historian mainly working on juries,Yes

11/7/2022 5:05:37,Harriet Salem,@HarrietSalem@mastodon.social,@HarrietSalem,international criminal law & international humanitarian law,"ICC, universal jurisdiction, domestic ICL, ","Journalist. LLM intl law student. ICL, IHL & Ukraine,",Yes

11/7/2022 5:12:36,Marilie Odding,@MCOdd@mastodon.nl,@MariliecOdd,"Socio-legal studies, sociology of law, regulation, public administration",The Netherlands,"PhD student at University of Groningen, doing interdisciplinary research into reflexive regulation and public service provision to disadvantaged unemployed people, using a narrative approach",Yes

11/7/2022 5:16:43,Rebecca Brown,@rrb@mastodon.social,@rebeccabrown_,"international law, global health governance, treaty interpretation, public law","International, Australia","PhD student, University of Cambridge",Yes

11/7/2022 5:24:35,Bek McWhirter,@bekmcwhirter@aus.social,@bekmcw,"Health law, medical law, human rights","Australia, UK",,Yes

11/7/2022 6:03:46,Alicia Schmidt,@aliciadschmidt@aus.social,aliciadschmidt,"Digital assets, economic crime, AML/CTF, confiscation",,PhD candidate ANU Law,Yes

11/7/2022 6:21:45,mellem_esq,@mellem@mastodon.social,@mellem_esq,Federal courts,,"Career law clerk, magistrate judge, here for the lols",Yes

11/7/2022 6:48:35,Javier Wilenmann,@Jwilenmann@wien.rocks,,Criminal justice,"Latin America, US, Germany, UK",,Yes

11/7/2022 6:48:42,Joe Ross,@joeross@mastodon.social,joeross,"Litigation, Professional Liability, Insurance",New Jersey and Pennsylvania,"Philly-based lawyer focused on litigation of professional liability matters. Topics that interest me outside my practice include national security, SCOTUS and tech. ",Yes

11/7/2022 6:52:15,Zoe Saunders,@ZASaunders@mastodonapp.uk,@ZASaunders,"Family law, TOLATA",Family & chancery,"Barrister, Mediator and Arbitrator at St John's Chambers",Yes

11/7/2022 6:54:30,@prosecutrix,@prosecutrix@aus.social,@primafacile,Evidence,Criminal and administrative law,Criminal prosecutions,Yes

11/7/2022 7:16:47,Robert Grabosch,@grabosch@bhre.social,@rGrabosch,Business & Human Rights,"Germany, EU","I'm based in Berlin, at a commercial law firm. Specialising on business & human rights since 2008.",Yes

11/7/2022 7:19:31,Brad Novreske,@bnovreske@appellate.social,@Bnovreske,Criminal appeals and complex motion practice,Wisconsin,,Yes

11/7/2022 7:24:57,Natalia Galica,@internatalia@appellate.social,@subnominenat,appellate criminal defense,Illinois,Dog mom to a maltipom named Spooky,Yes

11/7/2022 7:29:45,Liam sunner,@iamshirtacus@mastodon.social,@iamshirtacus,"IP Law, EU Law, Law and Technoogy","Ireland, EU,",,Yes

11/7/2022 7:34:56,Audrey Ludwig,@AudreySuffolk@mas.to,@AudreySuffolk,"Equality law, Legal Aid, Access to Justice","England and Wales, UK",,Yes

11/7/2022 7:51:43,Jess O'Thomson,@disabledjess@https://mastodonapp.uk/@disabledjess,@disabledjess@mastodonapp.uk,"Trans law, disability law, law and social justice",,,Yes

11/7/2022 8:08:35,Mirka Fries,@mirkafries@bhr.social,@mirkafries,"legal theory, feminist theory, law and political economy, BHR, intellectual property law, human rights",global,"PhDc taking a feminist perspective on patents on seeds, corporate power and human rights. Also working on the use and export of pesticides and climate justice",Yes

11/7/2022 8:19:34,Leah Litman,@LeahLitman@mastodon.social,@LeahLitman,"supreme court, constitutional law, federal courts",,,Yes

11/7/2022 8:33:14,Fabian Endemann,@FabianEndemann@mastodon.social,@FabianEndemann,"lhuman rights law, international law, law and literature, legal theory, legal philosophy","Germany, International Human Rights",,Yes

11/7/2022 8:38:00,Kirsten Roberts Lyer ,@kroberts@mastodon.ie,@kjroberts,"Human rights, academic freedom, parliaments ",,"Associate Professor, Central European University Vienna ",Yes

11/7/2022 8:38:20,Jay Reding,@jayreding@mastodon.world,@jayreding,Bankruptcy law,"Bankruptcy Court, US Federal",,Yes

11/7/2022 8:45:21,Max Kennerly,@maxkennerly@mstdn.social,@MaxKennerly,"Civil Litigation, Court Reform",United States,16 years as a trial lawyer for plaintiffs,Yes

11/7/2022 8:47:06,Anthony Michael Kreis,anthonymkreis,anthonymkreis,constitutional law,,,Yes

11/7/2022 8:47:32,Arindam Kar ,@akarstl@mstdn.social,@akarstl ,"Antitrust, refugee resettlement",U.S.,"Focus on antitrust compliance, counseling, and investigations; pro bono work focus on refugee resettlement efforts and policy.",Yes

11/7/2022 8:52:19,Christina Boydston,@BoydstonLaw@mstdn.social,@BoydstonLaw,"Juvenile law, disability law, law librarianship","Nebraska, California",Attorney and reference librarian. Finding humor and hmmm in the law.,Yes

11/7/2022 8:55:48,alex roberts,@lexlanham@masthead.social,@lexlanham,trademarks; advertising; entertainment law; intellectual property,,professor of law & media at northeastern,Yes

11/7/2022 9:10:40,Emanuela Lecchi,@manulecchi@mastodon.scot,@manulecchi,"Antitrust, competition law, economics, regulation, EU Law","U.K., Europe, Hong Kong, China, Italy, india","I am European (Italian and British). After 26 years in London (lawyering), after Brexit I spent 5 years in Hong Kong (policy advising in APAC). I am now a lecturer at University if Dundee (in Scotland)",Yes

11/7/2022 9:39:36,Kath Balcones,@hooserdoingthings@mastodon.social,@kathbalcones,public defense,,,Yes

11/7/2022 10:24:44,Anita Brenner,@anitabrenner@sfba.mastodon,@anitabrenner,General civil litigation. ,California ,Defense attorney. ,Yes

11/7/2022 10:28:11,Verfassungsblog,@verfassungsblog@legal.social,@verfassungsblog,"constitutional law, international law, human rights law, EU law",,,Yes

11/7/2022 10:54:20,Matt Pollard,@mpollard@mastodon.online,@mattdpollard,"International humanitarian law, international human rights law",,ICRC Legal adviser,Yes

11/7/2022 10:54:57,Ian Beeby BL,@Ian_Beeby@mastodon.ie,@IanBeeby,"Data Protection Law, Road Transport Law, Civil Common Law","England & Wales, Ireland","Physicist, Engineer, Lawyer, Brexile",Yes

11/7/2022 11:14:03,Quinten Steenhuis,@qsteenhuis@noc.social,@qsteenhuis,Legal tech,Massachusetts,"Lawyer and technologist for social change @suffolklitlab
 (formerly @bostonlegalaid
). Using #legaltech for #a2j. Founder Lemma Legal. He/him/his",Yes

11/7/2022 11:17:47,Anna C. Zielinska,@aziel@mastodon.green,@aczielinska,"Legal positivism, legal philosophy, rights, animal and environnement law, queer issues in law, metaethics and law, health law",,"Associate Professor of philosophy, University of Lorraine, Nancy, France",Yes

11/7/2022 11:28:11,JoÃ£o Pedro Quintais ,@jpquintais@akademienl.social,@jpquintais,"Intellectual Property law, intermediary liability, con",International and EU law,"Assistant Professor, University of Amsterdam, Institute for Information Law (IViR)",Yes

11/7/2022 11:30:08,Brendon Moorhouse,@Bsm@mastodonapp.uk,@B_Moorhouse,Environmental Law,UK/International ,Barrister,Yes

11/7/2022 11:52:50,Valentina Chiofalo,@v_chiofalo,@valenchiof3,"feminisism, anti-discrimination law ",,,Yes

11/7/2022 12:01:22,Eoin OâDell,@cearta@mastadon.ie,@cearta,,"Ireland, EU, US",,Yes

11/7/2022 12:10:33,Michael van Eckert,@ve_strafrecht@dresden.network,@van_eckert,"criminal law and procedure, tax, data, IT","Germany, Saxony, Austria, European Union, Switzerland, USA","Criminal Defense Lawyer, located in Dresden Neustadt",Yes

11/7/2022 12:13:44,Adam Benforado,@benforado@mas.to,@benforado,"Children's rights, criminal law, criminal justice, law and psychology",U.S.,"Professor of Law, Drexel University (Philadelphia, US)",Yes

11/7/2022 12:17:27,Noreen O'Meara,@noreen@mastodon.ie,@noreenomeara,"Human Rights law, EU law, Environmental law",,"Associate Professor, University of Surrey, UK",Yes

11/7/2022 12:21:41,Jonathan Chauovsky,ChaosCubed,,"Corporate charter rights, constitutional law, civil liberties, judicial politics",United States; Europe in Comparative perspective,,Yes
